name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
 FAG00002W0, Nam, 43 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Automatic (Tự Động), 5 ATM, Nhật Bản, Orient,8.690.000 ₫
 A158WA-1DF, Nam, 36.8 mm x 33.2 mm, Resin Glass (Kính Nhựa),NULL, Quartz (Pin), 3 ATM, Nhật Bản, Casio,856.000 ₫
 AQ-S810W-1A4VDF, Nam, 46.6 mm, Resin Glass (Kính Nhựa), Dây Cao Su, Tough Solar (Năng Lượng Ánh Sáng), 10 ATM, Nhật Bản, Casio,2.203.000 ₫
 EFR-526L-2AVUDF, Nam, 48.5 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 10 ATM, Nhật Bản, Casio,3.356.000 ₫
 MTP-V006GL-7BUDF, Nam, 38 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 3 ATM, Nhật Bản, Casio,932.000 ₫
 A168WG-9WDF, Nam/Nữ, 38.6mm x 36.3mm, Resin Glass (Kính Nhựa),NULL, Quartz (Pin), 3 ATM, Nhật Bản, Casio,1.762.000 ₫
 BI1050-56L, Nam, 41mm, Mineral Crystal (Kính Cứng), Thép Không Gỉ, Quartz (Pin), 5 ATM, Nhật Bản, Citizen,3.285.000 ₫
 SRPG33K1, Nam, 39.4 mm, Hardlex Crystal (Kính Cứng), Dây Vải, Automatic (Tự Động), 10 ATM, Nhật Bản, Seiko,7.090.000 ₫
 DW00100425, Nam, 40 mm, Mineral Crystal (Kính Cứng), Dây Cao Su, Quartz (Pin), 10 ATM, Thụy Điển, Daniel Wellington,6.468.000 ₫
 NH8394-70H, Nam, 40.2 mm, Mineral Crystal (Kính Cứng), Thép Không Gỉ, Automatic (Tự Động), 5 ATM, Nhật Bản, Citizen,9.177.000 ₫
 AK5000-54A, Nam, 42 mm, Mineral Crystal (Kính Cứng), Thép Không Gỉ, Quartz (Pin), 5 ATM, Nhật Bản, Citizen,3.985.000 ₫
 T101.410.44.031.00, Nam, 39 mm, Sapphire (Kính Chống Trầy), Titanium, Quartz (Pin), 10 ATM, Thụy Sỹ, Tissot,11.200.000 ₫
 FC-303LN5B2B, Nam, 40 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 5 ATM, Thụy Sỹ, Frederique Constant,33.010.000 ₫
 GA-2000-1A2DR, Nam, 51.2 mm x 48.7 mm, Mineral Crystal (Kính Cứng), Dây Cao Su, Quartz (Pin), 20 ATM, Nhật Bản, Casio,4.638.000 ₫
 D124RBKW, Nam, 41 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Doxa,31.390.000 ₫
 AEQ-110W-3AVDF, Nam, 46.6 mm, Resin Glass (Kính Nhựa), Dây Cao Su, Quartz (Pin), 10 ATM, Nhật Bản, Casio,1.581.000 ₫
 DW-5600BB-1DR, Nam, 48.9 mm x 42.8 mm, Mineral Crystal (Kính Cứng), Dây Cao Su, Quartz (Pin), 20 ATM, Nhật Bản, Casio,3.524.000 ₫
 FAG03001D0, Nam, 38.5 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 5 ATM, Nhật Bản, Orient,9.320.000 ₫
 D201RSV, Nam, 40 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 5 ATM, Thụy Sỹ, Doxa,18.190.000 ₫
 MTP-1370D-7A2VDF, Nam, 40mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.607.000 ₫
 RA-AR0001S10B, Nam, 40.8 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 5 ATM, Nhật Bản, Orient,11.760.000 ₫
 EFV-550L-1AVUDF, Nam, 47 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 10 ATM, Nhật Bản, Casio,3.529.000 ₫
 MTP-1381D-1AVDF, Nam, 39.9mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.710.000 ₫
 GA-110-1BDR, Nam, 53mm, Mineral Crystal (Kính Cứng), Dây Cao Su, Quartz (Pin), 20 ATM, Nhật Bản, Casio,4.612.000 ₫
 D154TWH – Giới thiệu chi tiết , Nam, 40 mm, Sapphire (Kính chống trầy), Dây da chính hãng, Handwinding (Lên cót bằng tay), 3 ATM, Thụy Sỹ, Doxa (Phiên bản giới hạn 1000 chiếc trên toàn thế giới),135.830.000 ₫
 T063.617.36.037.00, Nam, 42 mm, Sapphire (Kính chống trầy), Dây da chính hãng, Quartz (Pin), 3 ATM, Thụy Sỹ, Tissot,14.700.000 ₫
 MTP-1384D-1AVDF, Nam, 40 mm, Mineral Crystal (Kính Cứng), Thép Không Gỉ, Quartz (Pin), 10 ATM, Nhật Bản, Casio,2.280.000 ₫
 MTP-1302D-7A1VDF, Nam, 38.5mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.347.000 ₫
 MTP-1302D-7BVDF, Nam, 38.5mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.347.000 ₫
 RE-AV0001S00B, Nam, 41 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Automatic (Tự Động), 5 ATM, Nhật Bản, Orient,22.300.000 ₫
  BI5072-01A, Nam, 40 mm,  Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 5 ATM, Nhật Bản, Citizen,3.685.000 ₫
 FAG00002W0, Nam, 43 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Automatic (Tự Động), 5 ATM, Nhật Bản, Orient,8.690.000 ₫
 A158WA-1DF, Nam, 36.8 mm x 33.2 mm, Resin Glass (Kính Nhựa),NULL, Quartz (Pin), 3 ATM, Nhật Bản, Casio,856.000 ₫
 AQ-S810W-1A4VDF, Nam, 46.6 mm, Resin Glass (Kính Nhựa), Dây Cao Su, Tough Solar (Năng Lượng Ánh Sáng), 10 ATM, Nhật Bản, Casio,2.203.000 ₫
 EFR-526L-2AVUDF, Nam, 48.5 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 10 ATM, Nhật Bản, Casio,3.356.000 ₫
 MTP-V006GL-7BUDF, Nam, 38 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 3 ATM, Nhật Bản, Casio,932.000 ₫
 A168WG-9WDF, Nam/Nữ, 38.6mm x 36.3mm, Resin Glass (Kính Nhựa),NULL, Quartz (Pin), 3 ATM, Nhật Bản, Casio,1.762.000 ₫
